Jahr;Stadtbezirk mit zugeordneten Ortschaften;Schulkind;Anzahl betreute Kinder (Kita)
2023;StB 0 Altstadt;nein;2920
2023;StB 0 Altstadt;ja;1925
2023;StB 1 Neustadt;nein;3110
2023;StB 1 Neustadt;ja;2580
2023;StB 2 Pieschen;nein;2757
2023;StB 2 Pieschen;ja;2312
2023;StB 3 Klotzsche/nördliche Ortschaften;nein;1539
2023;StB 3 Klotzsche/nördliche Ortschaften;ja;1306
2023;StB 4 Loschwitz/OS Schönfeld-Weißig;nein;1428
2023;StB 4 Loschwitz/OS Schönfeld-Weißig;ja;1160
2023;StB 5 Blasewitz;nein;4767
2023;StB 5 Blasewitz;ja;3854
2023;StB 6 Leuben;nein;1774
2023;StB 6 Leuben;ja;1404
2023;StB 7 Prohlis;nein;2425
2023;StB 7 Prohlis;ja;2557
2023;StB 8 Plauen;nein;2744
2023;StB 8 Plauen;ja;1932
2023;StB 9 Cotta/westliche Ortschaften;nein;4415
2023;StB 9 Cotta/westliche Ortschaften;ja;3068
2024;StB 0 Altstadt;nein;2796
2024;StB 0 Altstadt;ja;2006
2024;StB 1 Neustadt;nein;3033
2024;StB 1 Neustadt;ja;2491
2024;StB 2 Pieschen;nein;2617
2024;StB 2 Pieschen;ja;2335
2024;StB 3 Klotzsche/nördliche Ortschaften;nein;1445
2024;StB 3 Klotzsche/nördliche Ortschaften;ja;1296
2024;StB 4 Loschwitz/OS Schönfeld-Weißig;nein;1296
2024;StB 4 Loschwitz/OS Schönfeld-Weißig;ja;1200
2024;StB 5 Blasewitz;nein;4502
2024;StB 5 Blasewitz;ja;3863
2024;StB 6 Leuben;nein;1718
2024;StB 6 Leuben;ja;1429
2024;StB 7 Prohlis;nein;2391
2024;StB 7 Prohlis;ja;2248
2024;StB 8 Plauen;nein;2624
2024;StB 8 Plauen;ja;2196
2024;StB 9 Cotta/westliche Ortschaften;nein;4278
2024;StB 9 Cotta/westliche Ortschaften;ja;3120
2025;StB 0 Altstadt;nein;2625
2025;StB 0 Altstadt;ja;2111
2025;StB 1 Neustadt;nein;2835
2025;StB 1 Neustadt;ja;2597
2025;StB 2 Pieschen;nein;2509
2025;StB 2 Pieschen;ja;2369
2025;StB 3 Klotzsche/nördliche Ortschaften;nein;1347
2025;StB 3 Klotzsche/nördliche Ortschaften;ja;1280
2025;StB 4 Loschwitz/OS Schönfeld-Weißig;nein;1153
2025;StB 4 Loschwitz/OS Schönfeld-Weißig;ja;1200
2025;StB 5 Blasewitz;nein;4195
2025;StB 5 Blasewitz;ja;3659
2025;StB 6 Leuben;nein;1640
2025;StB 6 Leuben;ja;1607
2025;StB 7 Prohlis;nein;2315
2025;StB 7 Prohlis;ja;2579
2025;StB 8 Plauen;nein;2445
2025;StB 8 Plauen;ja;1869
2025;StB 9 Cotta/westliche Ortschaften;nein;4106
2025;StB 9 Cotta/westliche Ortschaften;ja;3090
