Jahr;Stadtbezirk mit zugeordneten Ortschaften;Trägerart - öffentlich, frei und privat zusammen - (Kita);Genehmigte Plätze gemäß Betriebserlaubnis;betreute Kinder;Anzahl tätige Personen in Einrichtung;Anzahl Einrichtungen
2023;StB 0 Altstadt;öffentliche Trägerschaft;2354;1954;276;15
2023;StB 0 Altstadt;freie und private Trägerschaft;3206;2891;453;23
2023;StB 1 Neustadt;öffentliche Trägerschaft;3239;2708;357;18
2023;StB 1 Neustadt;freie und private Trägerschaft;3302;2982;477;27
2023;StB 2 Pieschen;öffentliche Trägerschaft;4277;3258;438;22
2023;StB 2 Pieschen;freie und private Trägerschaft;2025;1811;265;16
2023;StB 3 Klotzsche/nördliche Ortschaften;öffentliche Trägerschaft;1686;1361;156;12
2023;StB 3 Klotzsche/nördliche Ortschaften;freie und private Trägerschaft;1687;1484;237;16
2023;StB 4 Loschwitz/OS Schönfeld-Weißig;öffentliche Trägerschaft;1852;1519;193;15
2023;StB 4 Loschwitz/OS Schönfeld-Weißig;freie und private Trägerschaft;1188;1069;165;14
2023;StB 5 Blasewitz;öffentliche Trägerschaft;3860;3383;385;19
2023;StB 5 Blasewitz;freie und private Trägerschaft;6111;5238;772;43
2023;StB 6 Leuben;öffentliche Trägerschaft;2318;1885;249;14
2023;StB 6 Leuben;freie und private Trägerschaft;1494;1293;213;13
2023;StB 7 Prohlis;öffentliche Trägerschaft;3954;3206;422;21
2023;StB 7 Prohlis;freie und private Trägerschaft;1904;1776;319;15
2023;StB 8 Plauen;öffentliche Trägerschaft;3809;3152;338;19
2023;StB 8 Plauen;freie und private Trägerschaft;1634;1524;308;17
2023;StB 9 Cotta/westliche Ortschaften;öffentliche Trägerschaft;4861;3965;529;28
2023;StB 9 Cotta/westliche Ortschaften;freie und private Trägerschaft;4063;3518;514;29
2024;StB 0 Altstadt;öffentliche Trägerschaft;2370;1887;274;15
2024;StB 0 Altstadt;freie und private Trägerschaft;3219;2915;459;23
2024;StB 1 Neustadt;öffentliche Trägerschaft;3198;2587;333;18
2024;StB 1 Neustadt;freie und private Trägerschaft;3205;2937;469;27
2024;StB 2 Pieschen;öffentliche Trägerschaft;4235;3180;431;22
2024;StB 2 Pieschen;freie und private Trägerschaft;2107;1772;273;16
2024;StB 3 Klotzsche/nördliche Ortschaften;öffentliche Trägerschaft;1620;1296;132;12
2024;StB 3 Klotzsche/nördliche Ortschaften;freie und private Trägerschaft;1689;1445;235;16
2024;StB 4 Loschwitz/OS Schönfeld-Weißig;öffentliche Trägerschaft;1843;1496;164;14
2024;StB 4 Loschwitz/OS Schönfeld-Weißig;freie und private Trägerschaft;1151;1000;156;13
2024;StB 5 Blasewitz;öffentliche Trägerschaft;3923;3181;358;19
2024;StB 5 Blasewitz;freie und private Trägerschaft;6181;5184;775;44
2024;StB 6 Leuben;öffentliche Trägerschaft;2144;1889;235;14
2024;StB 6 Leuben;freie und private Trägerschaft;1493;1258;214;13
2024;StB 7 Prohlis;öffentliche Trägerschaft;3622;2831;367;20
2024;StB 7 Prohlis;freie und private Trägerschaft;2059;1808;333;16
2024;StB 8 Plauen;öffentliche Trägerschaft;4085;3335;343;20
2024;StB 8 Plauen;freie und private Trägerschaft;1636;1485;288;17
2024;StB 9 Cotta/westliche Ortschaften;öffentliche Trägerschaft;4891;3910;508;28
2024;StB 9 Cotta/westliche Ortschaften;freie und private Trägerschaft;4030;3488;551;29
2025;StB 0 Altstadt;öffentliche Trägerschaft;2348;1844;259;15
2025;StB 0 Altstadt;freie und private Trägerschaft;3309;2892;456;23
2025;StB 1 Neustadt;öffentliche Trägerschaft;3179;2562;314;18
2025;StB 1 Neustadt;freie und private Trägerschaft;3227;2870;472;27
2025;StB 2 Pieschen;öffentliche Trägerschaft;4241;3182;422;23
2025;StB 2 Pieschen;freie und private Trägerschaft;2002;1696;245;15
2025;StB 3 Klotzsche/nördliche Ortschaften;öffentliche Trägerschaft;1730;1209;127;11
2025;StB 3 Klotzsche/nördliche Ortschaften;freie und private Trägerschaft;1727;1418;229;16
2025;StB 4 Loschwitz/OS Schönfeld-Weißig;öffentliche Trägerschaft;1927;1453;150;14
2025;StB 4 Loschwitz/OS Schönfeld-Weißig;freie und private Trägerschaft;1151;900;144;13
2025;StB 5 Blasewitz;öffentliche Trägerschaft;3684;2800;322;18
2025;StB 5 Blasewitz;freie und private Trägerschaft;6182;5054;761;44
2025;StB 6 Leuben;öffentliche Trägerschaft;2516;2031;250;14
2025;StB 6 Leuben;freie und private Trägerschaft;1496;1216;202;13
2025;StB 7 Prohlis;öffentliche Trägerschaft;4000;3075;380;21
2025;StB 7 Prohlis;freie und private Trägerschaft;2096;1819;355;17
2025;StB 8 Plauen;öffentliche Trägerschaft;3657;2928;317;18
2025;StB 8 Plauen;freie und private Trägerschaft;1624;1386;279;16
2025;StB 9 Cotta/westliche Ortschaften;öffentliche Trägerschaft;4720;3783;472;28
2025;StB 9 Cotta/westliche Ortschaften;freie und private Trägerschaft;4092;3413;528;29
