Statistischer Bezirk;Stadtteil zus.;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Stadtbezirk/Ortschaft;Bundestagswahlkreis;Kommunalwahlkreis;Landtagswahlkreis
011  Innere Altstadt-Ost;01 Innere Altstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
012  Innere Altstadt-West;01 Innere Altstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
021  Pirnaische Vs.(Grunaer-Süd);02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
022  Pirnaische Vs.(Zirkusstr);02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
023  Pirnaische Vs.(Blochmannstr);02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
024  Pirnaische Vs.(Pestalozzistr);02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
025  Pirnaische Vs.(Steinstr);02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
031  Seevs.-Ost(Prager Str);03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
032  Seevs.-Ost(Räcknitzstr);03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
033  Seevs.-Ost(Lindengasse);03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
034  Strehlen(Tiergartenstr);03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
041  Wilsdruffer Vs.(Ostra-Allee);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
042  Wilsdruffer Vs.(Ermischstr);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
043  Wilsdruffer Vs.(Maternistr);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
044  Seevs.-West(Am See);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
045  Seevs.-West(Sternplatz);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
046  Seevs.-West(Feldgasse);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
