Jahr;Hallenkapazität in qm;Parkplatzkapazität (Kfz);Gastmessen - Anzahl;Gastmessen - Aussteller;Gastmessen - Besucher;Eigenmessen - Anzahl;Eigenmessen - Aussteller;Eigenmessen - Besucher;Tagungen - Anzahl;Tagungen - Aussteller;Tagungen - Besucher;Konzerte - Anzahl;Konzerte - Aussteller;Konzerte - Besucher;Sonstige Veranstaltungen - Anzahl;Sonstige Veranstaltungen - Aussteller;Sonstige Veranstaltungen - Besucher
2010;20000;2005;20;3631;224858;5;708;62600;18;279;4933;18;27;168265;35;3058;93032
2011;20000;2005;22;3311;214686;7;903;67200;18;599;128122;12;21;103250;83;8173;81870
2012;20000;2005;33;7412;252168;7;724;73079;18;217;12547;19;28;77647;90;5208;53182
2013;20000;2005;22;8839;229171;9;1162;96453;23;348;17478;30;39;85662;55;1267;16174
2014;20000;2005;13;4006;178915;8;952;88132;25;170;13852;31;104;117733;48;83;13114
2015;20000;1755;16;3328;167737;9;1098;95780;20;209;17027;26;524;182486;31;75;15719
2016;20000;1755;18;4858;203404;9;1147;104469;18;222;8243;27;98;97555;43;86;58849
2017;20000;1755;19;5232;209056;6;1135;99650;13;478;16634;24;92;131155;56;178;24408
2018;20000;1755;18;5308;216652;4;869;90332;12;598;12787;24;75;135836;43;162;17012
2019;20000;1755;17;4500;222229;7;1151;97347;20;300;7491;19;29;113382;31;62;98424
2020;20000;1755;11;2157;148400;3;430;15673;41;202;5795;22;8;42800;6;6;200
2021;20000;1755;7;916;35826;2;162;2270;16;32;3027;4;8;31755;80;168;13815
2022;20000;1755;8;5490;73949;3;283;20300;22;155;5506;9;9;76876;86;47;15882
2023;20000;1755;15;1909;171322;4;435;76800;31;268;18644;20;20;193018;58;116;4789
2024;20000;1725;16;2751;179135;4;559;64336;41;385;7655;43;43;531754;36;20;61344
2025;20000;1755;15;2740;177501;4;563;59562;34;401;16144;38;38;169508;34;231;4277
