Jahr;Gesamtbeschäftigte;Anteil festangestellter Frauen in Prozent;Anteil festangestellter Männer in Prozent;festangestellte Beamte;festangestellte Tarifbeschäftigte;festangestellte Künstler;ABM;Auszubildende/Akademisten/Studierende;sonstige Beschäftigte;Personalkosten - Aufwand in Mio Euro;Personalkosten - Zahlung in Mio Euro;Personalkostenanteil am Verwaltungshaushalt in Prozent
1991;17088;-;-;-;-;-;-;-;-;-;275;36,6
1992;15218;-;-;-;-;-;-;-;-;-;328,3;38,1
1993;14344;-;-;-;-;-;-;-;-;-;358,7;41,8
1994;14224;-;-;-;-;-;-;-;-;-;382,2;40,2
1995;13612;-;-;439;12954;0;-;-;-;-;372;39,1
1996;12797;-;-;819;11237;0;267;212;262;-;387,6;41,5
1997;11820;-;-;843;10294;0;131;217;335;-;350;43,4
1998;11456;-;-;854;9923;0;142;225;312;-;349,3;42,7
1999;11265;-;-;894;9664;0;123;224;360;-;350,1;42,1
2000;10506;-;-;917;8852;0;90;228;419;-;343,6;39,7
2001;7915;-;-;914;6326;0;54;217;404;-;266;31,9
2002;7873;-;-;934;6233;0;33;232;441;-;272,2;32,1
2003;7464;-;-;959;5859;0;23;224;399;-;268,6;31,9
2004;7122;59,8;40,2;984;5360;363;24;215;176;-;261,6;29,4
2005;6967;60,3;39,7;984;5202;368;24;210;179;-;257,7;27,3
2006;6915;60,6;39,4;989;5186;373;10;212;145;-;263,6;26,6
2007;6939;60,9;39,1;1010;5203;378;15;210;123;-;263,2;27,6
2008;7018;61,1;38,9;1024;5288;374;10;209;113;-;280,7;25,9
2009;7045;61;39;1055;5261;385;14;220;110;-;300,6;28
2010;7029;60,9;39,1;1067;5248;392;6;216;100;-;309,7;28,8
2011;7055;61,1;38,9;1072;5270;390;0;218;105;322,8;317,2;28,5
2012;7008;60,7;39,3;1079;5243;381;0;197;108;316,1;317,3;27,1
2013;6969;61;39;1065;5222;394;0;187;101;325,8;327,4;26,4
2014;6967;61;39;1071;5255;388;0;174;79;335,2;341;26,1
2015;6864;60,5;39,5;1055;5149;394;0;190;76;348,4;356,1;26,1
2016;7046;60,5;39,5;1053;5330;399;0;191;73;359,9;364,1;24,8
2017;7251;60,7;39,3;1048;5493;413;0;266;31;390,6;382,8;24,7
2018;7333;60,5;39,5;1021;5637;407;0;252;16;402,2;402;25
2019;7711;61;39;1023;5828;430;0;280;150;427,2;423,9;24,8
2020;7723;60,4;39,6;1006;5884;419;0;333;81;438;434,3;25,1
2021;7840;60,5;39,5;1011;5991;424;0;331;83;444,4;441,1;24,2
2022;8012;59,1;40,9;1023;6101;443;0;344;101;474,8;470,2;23,9
2023;8209;58,9;41,1;1015;6306;450;0;352;86;510,3;505,8;22,6
2024;8420;58,8;41,2;997;6511;452;0;374;86;552,4;555,4;24
