Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;BedarfsGem. -insgesamt;BedarfsGem. -1 Person-;BedarfsGem. -2 Personen-;BedarfsGem. -3 u.mehr Personen-;Single-BG;Alleinerziehenden-BG;Partner-BG ohne Kinder;Partner-BG mit Kindern;BG mit Zahlungsanspruch Gesamtregelleistung;BG mit Zahlungsanspruch KdU;Personen in BG - insgesamt;Kinder in BG - insgesamt;Leistungsberechtigte (LB) - insgesamt;Nicht Leistungsberechtigte (NLB) - insgesamt;Regelleistungsberechtigte (RLB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - Männer;Erwerbsfähige Leistungsberechtigte (ELB) - Frauen;Erwerbsfähige Leistungsberechtigte (ELB) - Deutsche;Erwerbsfähige Leistungsberechtigte (ELB) - Ausländer;Erwerbsfähige Leistungsberechtigte (ELB) - unter 25 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 25 bis unter 35 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 35 bis unter 45 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 45 bis unter 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - über 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - alleinerziehend;Erwerbsfähige Leistungsberechtigte (ELB) - erwerbstätig;"Nichterwerbsfähige Leistungsberechtigte (NEF) - insgesamt ";Sonstige Leistungsberechtigte (SLB) - insgesamt
2012;4. Quartal;StB 0 Altstadt;3766;2371;697;698;2371;464;397;467;3721;3585;6325;1511;6050;275;6000;4703;2405;2298;3713;986;707;1266;872;1018;840;453;1609;1297;50
2012;4. Quartal;StB 1 Neustadt;3297;2158;598;541;2158;578;213;312;3252;3115;5261;1360;4978;283;4910;3780;1998;1782;3343;434;457;1411;827;671;414;538;1595;1130;68
2012;4. Quartal;StB 2 Pieschen;4073;2352;893;828;2352;863;335;467;4030;3831;7074;2060;6734;340;6663;4901;2386;2515;4509;386;650;1691;989;939;632;820;1895;1762;71
2012;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;780;492;165;123;492;143;64;75;777;744;1264;326;1186;78;1180;925;479;446;891;34;92;264;182;213;174;139;364;255;6
2012;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;756;467;175;114;467;129;84;67;751;694;1238;313;1168;70;1161;909;470;439;870;38;90;238;200;216;165;126;377;252;7
2012;4. Quartal;StB 5 Blasewitz;3405;1891;819;695;1891;656;368;427;3375;3283;5947;1624;5601;346;5559;4213;1972;2241;3829;381;487;1245;856;894;731;635;1769;1346;42
2012;4. Quartal;StB 6 Leuben;1872;1078;475;319;1078;412;185;172;1861;1802;3154;864;2961;193;2943;2263;1068;1195;2183;80;273;610;455;483;442;401;861;680;18
2012;4. Quartal;StB 7 Prohlis;4429;2695;892;842;2695;770;420;475;4398;4236;7577;2069;7166;411;7131;5445;2852;2593;5043;398;802;1471;1066;1111;995;754;1765;1686;35
2012;4. Quartal;StB 8 Plauen;2199;1321;422;456;1321;319;237;290;2183;2105;3811;985;3630;181;3608;2766;1409;1357;2420;343;395;814;521;522;514;308;1003;842;22
2012;4. Quartal;StB 9 Cotta/westliche Ortschaften;6170;3639;1393;1138;3639;1127;643;686;6117;5911;10528;2856;9970;558;9895;7542;3771;3771;7053;486;1048;2249;1386;1532;1327;1086;2688;2353;75
2012;4. Quartal;unbekannt;44;36;6;2;36;6;2;0;43;34;56;10;55;1;54;45;22;23;43;2;3;16;11;7;8;6;10;9;1
2013;4. Quartal;StB 0 Altstadt;3591;2242;684;665;2242;483;373;436;3543;3408;6058;1498;5821;237;5757;4470;2268;2202;3457;1009;575;1205;877;959;854;469;1542;1287;64
2013;4. Quartal;StB 1 Neustadt;3188;2097;567;524;2097;576;197;290;3149;3011;5062;1315;4811;251;4736;3636;1932;1704;3200;433;418;1305;845;664;404;531;1525;1100;75
2013;4. Quartal;StB 2 Pieschen;4031;2319;846;866;2319;871;311;496;3991;3759;7115;2166;6803;312;6729;4873;2377;2496;4469;398;610;1704;1008;919;632;827;1947;1856;74
2013;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;759;478;152;129;478;132;61;81;755;716;1243;320;1180;63;1173;912;474;438;867;43;90;269;172;213;168;126;376;261;7
2013;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;706;441;156;109;441;123;74;64;703;662;1150;295;1091;59;1083;844;444;400;808;33;79;202;208;191;164;118;364;239;8
