Jahr;ausgesprochene Adoptionen im Berichtsjahr;vorgemerkte Adoptionsbewerbungen am Jahresende;in Adoptionspflege untergebrachte Kinder und Jugendliche am Jahresende;in Adoptionspflege untergebrachte Kinder und Jugendliche am Jahresende - männlich;in Adoptionspflege untergebrachte Kinder und Jugendliche am Jahresende - weiblich
1995;74;53;78;42;36
1996;96;65;68;44;24
1997;57;75;44;21;23
1998;56;79;30;17;13
1999;56;90;30;13;17
2000;39;71;42;23;19
2001;41;75;42;30;12
2002;51;165;32;21;11
2003;45;40;59;28;31
2004;28;58;34;16;18
2005;28;57;18;9;9
2006;23;81;40;18;22
2007;26;73;53;26;27
2008;27;40;29;16;13
2009;19;44;40;21;19
2010;40;32;36;15;21
2011;43;30;28;10;18
2012;35;48;30;17;13
2013;46;40;39;19;20
2014;55;45;41;18;23
2015;51;49;28;11;17
2016;47;46;36;24;12
2017;49;37;38;21;17
2018;49;37;38;21;17
2019;37;28;34;11;23
2020;47;36;36;19;17
2021;36;46;41;20;21
2022;51;45;16;7;9
2023;50;26;18;8;10
2024;35;24;11;6;5
2025;38;24;12;6;6
