Jahr;Steuereinnahmen (netto);Steuereinnahmen (brutto);Grundsteuer A und B;Gewerbesteuer (brutto);Sonstige Gemeindesteuern;Spielautomatensteuer;Hundesteuer;Zweitwohnungssteuer;Beherbergungssteuer;Gemeindeanteil an der Einkommenssteuer;Gewerbesteuerumlage;Gemeindeanteil Umsatzsteuer;Einwohner
1991;51425;27607;7446;19958;202;0;0;0;0;23818;0;0;488038
1992;83418;49573;16701;32316;556;0;0;0;0;33845;0;0;483430
1993;105329;58232;21786;35258;1188;0;0;0;0;48906;1808;0;480463
1994;141169;91839;24975;65381;1483;0;0;0;0;56150;6820;0;477572
1995;159767;99899;31007;67027;1865;0;0;0;0;65006;5138;0;472879
1996;161945;122921;37931;83237;1753;0;0;0;0;46337;7313;0;466551
1997;169076;119305;39499;77773;2033;0;0;0;0;50076;306;0;465033
1998;214502;143443;43901;97662;1881;0;0;0;0;52242;1577;20394;456320
1999;230605;150556;48747;99884;1925;0;0;0;0;62577;8753;26226;477650
2000;246537;178055;51138;125029;1888;0;0;0;0;56833;12751;24400;476543
2001;247468;184517;45910;137081;1526;0;0;0;0;52908;13458;23501;478022
2002;240244;186496;50143;134669;1684;0;0;0;0;48894;18413;23267;478988
2003;257261;202207;64047;135735;2425;0;0;0;0;51181;19220;23093;481308
2004;274051;212563;61817;148301;2445;0;0;0;0;54205;15925;23208;484580
2005;345192;283972;72619;208911;2442;0;0;0;0;56975;19300;23545;489245
2006;345388;275891;76702;196438;2751;0;0;0;0;63614;18564;24447;500068
2007;338915;252308;73079;175130;4099;0;0;0;0;72432;12984;27159;505563
2008;418015;299304;76069;220375;2860;0;0;0;0;106218;15933;28426;508398
2009;374486;262873;75814;183694;3365;0;0;0;0;96158;12613;28068;512157
2010;406783;298779;76961;218523;3295;0;0;0;0;96349;16661;28316;518323
2011;429614;309908;74503;232045;3360;0;0;0;0;109494;19703;29915;524519
2012;410824;281841;75299;202908;3634;0;0;0;0;115680;16646;29949;519238
2013;450766;305000;75801;225291;3908;0;0;0;0;130826;15407;30347;525929
2014;448231;291128;75826;211103;4199;0;0;0;0;143274;17189;31018;531982
2015;471629;293388;76130;208486;8772;0;0;0;0;158906;15304;34639;536911
2016;540576;356907;79089;264029;13789;0;0;0;0;168268;20819;36220;543501
2017;637082;441367;78576;348163;14628;2706;1403;984;9535;179063;27252;43904;547289
2018;619476;400203;79599;305363;15241;2706;1450;1036;10049;191243;24138;52168;551726
2019;635550;394075;80842;298233;15000;2428;1510;1047;10015;204323;21435;58587;554734
2020;584892;352361;81329;259566;11466;2038;1604;1116;6708;192079;22288;62740;555459
2021;743617;493573;82958;402041;8574;1083;1673;1226;4592;213450;28960;65554;554800
2022;756374;522137;82988;425873;13276;1957;1748;1337;8234;208834;35562;60965;557723
2023;829763;562181;84513;458883;18785;2496;1796;1344;13149;239476;30903;59009;560829
2024;840536;567651;84662;458135;24854;2314;1845;1448;19247;245964;34225;61146;562920
2025;818321;524809;74774;425324;24711;2229;1858;1521;19103;266047;36196;63661;562667
