Jahr;Quartal;Steuereinnahmen (netto);Steuereinnahmen (brutto);Grundsteuer A und B;Gewerbesteuer (brutto);Sonstige Gemeindesteuern;Spielautomatensteuer;Hundesteuer;Zweitwohnungssteuer;Beherbergungssteuer;Gemeindeanteil an der Einkommenssteuer;Gewerbesteuerumlage;Gemeindeanteil Umsatzsteuer
1991;1. Quartal;4182;994;934;-;60;-;-;-;-;3188;-;-
1991;2. Quartal;8425;4714;4636;30;47;-;-;-;-;3711;-;-
1991;3. Quartal;5022;5022;824;4138;60;-;-;-;-;-;-;-
1991;4. Quartal;33796;16878;1052;15790;35;-;-;-;-;16918;-;-
1992;1. Quartal;12611;12611;2615;9858;138;-;-;-;-;-;-;-
1992;2. Quartal;18824;11016;2508;8369;138;-;-;-;-;7808;-;-
1992;3. Quartal;16080;9379;2557;6684;138;-;-;-;-;6701;-;-
1992;4. Quartal;35902;16567;9020;7405;142;-;-;-;-;19336;-;-
1993;1. Quartal;18191;13017;5146;7535;336;-;-;-;-;5174;-;-
1993;2. Quartal;21164;12519;5380;6873;266;-;-;-;-;9173;527;-
1993;3. Quartal;21487;11867;5672;5714;481;-;-;-;-;10102;481;-
1993;4. Quartal;44486;20828;5589;15135;105;-;-;-;-;24458;800;-
1994;1. Quartal;14265;11652;5224;6173;256;-;-;-;-;3271;659;-
1994;2. Quartal;45273;32981;5949;26776;256;-;-;-;-;12879;586;-
1994;3. Quartal;33745;23511;7302;15953;256;-;-;-;-;12778;2544;-
1994;4. Quartal;48839;24648;6500;17432;716;-;-;-;-;27222;3031;-
1995;1. Quartal;22602;17499;6106;11036;358;-;-;-;-;5152;50;-
1995;2. Quartal;44816;30500;8157;21573;771;-;-;-;-;15278;963;-
1995;3. Quartal;32767;21337;7502;13634;201;-;-;-;-;13252;1822;-
1995;4. Quartal;59582;30562;9243;20785;535;-;-;-;-;31323;2303;-
1996;1. Quartal;24284;20389;8529;11143;717;-;-;-;-;4499;604;-
1996;2. Quartal;48770;35946;9291;26452;203;-;-;-;-;13765;941;-
1996;3. Quartal;41361;32423;11042;20929;452;-;-;-;-;11172;2234;-
1996;4. Quartal;47528;34162;9068;24714;380;-;-;-;-;16901;3535;-
1997;1. Quartal;26873;23834;8373;14843;617;-;-;-;-;3359;320;-
1997;2. Quartal;46404;32648;12431;19698;519;-;-;-;-;15011;1255;-
1997;3. Quartal;36976;29056;9818;18746;492;-;-;-;-;9601;1682;-
1997;4. Quartal;58823;33767;8878;24486;404;-;-;-;-;22105;-2950;-
1998;1. Quartal;34127;26204;9018;16615;572;-;-;-;-;5949;-;1974
1998;2. Quartal;58292;41280;13807;27005;467;-;-;-;-;11425;260;5847
1998;3. Quartal;53965;38945;9721;28790;435;-;-;-;-;9119;421;6321
1998;4. Quartal;68118;37014;11355;25252;407;-;-;-;-;25748;897;6253
1999;1. Quartal;44363;25869;9936;15356;577;-;-;-;-;11695;-63;6736
1999;2. Quartal;62048;45285;14134;30711;439;-;-;-;-;12030;1541;6275
1999;3. Quartal;48822;33865;12596;20754;515;-;-;-;-;11444;3089;6601
1999;4. Quartal;75372;45537;12081;33063;393;-;-;-;-;27407;4186;6614
2000;1. Quartal;37566;24672;10947;13250;476;-;-;-;-;7275;1247;6865
2000;2. Quartal;81573;65517;16636;48318;563;-;-;-;-;11691;1335;5700
2000;3. Quartal;52312;39462;12699;26335;427;-;-;-;-;11648;4853;6055
2000;4. Quartal;75087;48404;10855;37127;422;-;-;-;-;26219;5316;5780
2001;1. Quartal;24652;11985;6459;5351;175;-;-;-;-;7602;1074;6139
2001;2. Quartal;91821;77698;14727;62636;335;-;-;-;-;9143;649;5629
2001;3. Quartal;60733;47220;14414;32261;546;-;-;-;-;11473;3945;5984
2001;4. Quartal;70262;47613;10311;36832;470;-;-;-;-;24689;7790;5749
2002;1. Quartal;36233;23816;8971;14427;418;-;-;-;-;7368;1080;6129
2002;2. Quartal;73171;61553;18801;42209;543;-;-;-;-;8218;2123;5523
2002;3. Quartal;59987;47997;11124;36562;311;-;-;-;-;10660;4444;5774
2002;4. Quartal;70853;53130;11247;41471;412;-;-;-;-;22648;10766;5841
2003;1. Quartal;55371;42985;13721;28552;712;-;-;-;-;7100;713;5999
2003;2. Quartal;72382;61819;19423;41823;573;-;-;-;-;5636;664;5591
2003;3. Quartal;54105;42450;11615;30292;543;-;-;-;-;13160;7283;5778
2003;4. Quartal;75403;54953;19288;35068;597;-;-;-;-;25285;10560;5725
2004;1. Quartal;60991;46624;13687;32150;787;-;-;-;-;9085;823;6105
2004;2. Quartal;65104;56097;14173;41344;580;-;-;-;-;6642;3286;5651
2004;3. Quartal;71429;57871;20134;37132;605;-;-;-;-;12106;4226;5678
2004;4. Quartal;76527;51971;13823;37675;473;-;-;-;-;26372;7590;5774
2005;1. Quartal;81044;66646;13719;52156;771;-;-;-;-;8305;55;6148
2005;2. Quartal;88224;78130;18595;58980;555;-;-;-;-;9647;5100;5547
2005;3. Quartal;79843;68132;24743;42842;547;-;-;-;-;11709;5767;5769
2005;4. Quartal;96081;71064;15562;54933;569;-;-;-;-;27314;8378;6081
2006;1. Quartal;75316;64977;18451;46127;399;-;-;-;-;5271;1182;6250
2006;2. Quartal;87086;73720;18531;54633;556;-;-;-;-;11417;3895;5844
2006;3. Quartal;89372;75116;22001;52537;578;-;-;-;-;12665;4613;6204
2006;4. Quartal;93614;62078;17719;43141;1218;-;-;-;-;34261;8874;6149
2007;1. Quartal;77599;64973;17025;46573;1375;-;-;-;-;5221;-793;6612
2007;2. Quartal;68808;53544;17731;34649;1164;-;-;-;-;12363;3933;6834
2007;3. Quartal;84966;64327;22516;40964;847;-;-;-;-;16718;2926;6847
2007;4. Quartal;107542;69464;15807;52944;713;-;-;-;-;38130;6918;6866
2008;1. Quartal;83449;65044;17311;46943;790;-;-;-;-;12198;1012;7219
2008;2. Quartal;99449;75146;18187;56365;594;-;-;-;-;20416;3130;7017
2008;3. Quartal;109275;83079;22131;60258;690;-;-;-;-;22922;3758;7032
2008;4. Quartal;125842;76035;18440;56809;786;-;-;-;-;50682;8033;7158
2009;1. Quartal;83679;70875;18497;51526;852;-;-;-;-;5247;-230;7327
2009;2. Quartal;92130;65627;17615;47112;900;-;-;-;-;23191;3435;6747
2009;3. Quartal;87432;63764;21932;40988;844;-;-;-;-;20294;3579;6953
2009;4. Quartal;111245;62607;17770;44068;769;-;-;-;-;47426;5829;7041
2010;1. Quartal;82494;69093;17804;50379;910;-;-;-;-;6219;219;7401
2010;2. Quartal;105348;79149;23575;54761;813;-;-;-;-;23552;3918;6565
2010;3. Quartal;95210;70980;17069;53133;778;-;-;-;-;21359;4259;7130
2010;4. Quartal;123731;79557;18513;60250;794;-;-;-;-;45219;8265;7220
2011;1. Quartal;71223;56319;17263;38205;851;-;-;-;-;7839;554;7619
2011;2. Quartal;116354;86960;17200;68935;825;-;-;-;-;25092;2972;7274
2011;3. Quartal;119012;93035;22709;69529;797;-;-;-;-;23848;5361;7490
2011;4. Quartal;123025;73594;17331;55376;887;-;-;-;-;52715;10816;7532
2012;1. Quartal;90012;75893;19509;55322;1062;-;-;-;-;5310;-1101;7708
2012;2. Quartal;106021;78733;22265;55662;806;-;-;-;-;24150;4303;7441
2012;3. Quartal;108913;79250;19765;58597;888;-;-;-;-;26711;4329;7281
2012;4. Quartal;105878;47965;13760;33327;878;-;-;-;-;59509;9115;7519
2013;1. Quartal;82845;67685;18219;48466;1000;-;-;-;-;5490;-1965;7705
2013;2. Quartal;120786;85582;21947;62638;997;-;-;-;-;31629;3770;7345
2013;3. Quartal;108233;75711;18592;56124;995;-;-;-;-;29832;4872;7562
2013;4. Quartal;138902;76022;17043;58063;916;-;-;-;-;63875;8730;7735
2014;1. Quartal;84562;71549;17308;53064;1177;-;-;-;-;5403;151;7761
2014;2. Quartal;127256;88735;25998;61699;1038;-;-;-;-;34984;4127;7664
2014;3. Quartal;105273;70141;16985;52148;1008;-;-;-;-;32143;4799;7788
