Jahr;Steuereinnahmen (netto);Steuereinnahmen (brutto);Grundsteuer A und B;Gewerbesteuer (brutto);Sonstige Gemeindesteuern;Spielautomatensteuer;Hundesteuer;Zweitwohnungssteuer;Beherbergungssteuer;Gemeindeanteil an der Einkommenssteuer;Gewerbesteuerumlage;Gemeindeanteil Umsatzsteuer
1991;105,4;56,6;15,3;40,9;0,4;0;0;0;0;48,8;0;0
1992;172,6;102,5;34,6;66,8;1,2;0;0;0;0;70;0;0
1993;219,2;121,2;45,3;73,4;2,5;0;0;0;0;101,8;3,8;0
1994;295,6;192,3;52,3;136,9;3,1;0;0;0;0;117,6;14,3;0
1995;337,9;211,3;65,6;141,7;3,9;0;0;0;0;137,5;10,9;0
1996;347,1;263,5;81,3;178,4;3,8;0;0;0;0;99,3;15,7;0
1997;363,6;256,6;84,9;167,2;4,4;0;0;0;0;107,7;0,7;0
1998;470,1;314,4;96,2;214;4,1;0;0;0;0;114,5;3,5;44,7
1999;482,8;315,2;102,1;209,1;4;0;0;0;0;131;18,3;54,9
2000;517,3;373,6;107,3;262,4;4;0;0;0;0;119,3;26,8;51,2
2001;517,7;386;96;286,8;3,2;0;0;0;0;110,7;28,2;49,2
2002;501,6;389,4;104,7;281,2;3,5;0;0;0;0;102,1;38,4;48,6
2003;534,5;420,1;133,1;282;5;0;0;0;0;106,3;39,9;48
2004;565,5;438,6;127,6;306;5;0;0;0;0;111,9;32,9;47,9
2005;705,6;580,4;148,4;427;5;0;0;0;0;116,4;39,4;48,1
2006;690,7;551,7;153,4;392,8;5,5;0;0;0;0;127,2;37,1;48,9
2007;670,4;499,1;144,6;346,4;8,1;0;0;0;0;143,3;25,7;53,7
2008;822,2;588,7;149,6;433,5;5,6;0;0;0;0;208,9;31,3;55,9
2009;731,2;513,3;148;358,7;6,6;0;0;0;0;187,8;24,6;54,8
2010;784,8;576,4;148,5;421,6;6,4;0;0;0;0;185,9;32,1;54,6
2011;819,1;590,8;142;442,4;6,4;0;0;0;0;208,8;37,6;57
2012;791,2;542,8;145;390,8;7;0;0;0;0;222,8;32,1;57,7
2013;857,1;579,9;144,1;428,4;7,4;0;0;0;0;248,8;29,3;57,7
2014;842,6;547,2;142,5;396,8;7,9;0;0;0;0;269,3;32,3;58,3
2015;878,4;546,4;141,8;388,3;16,3;0;0;0;0;296;28,5;64,5
2016;994,6;656,7;145,5;485,8;25,4;0;0;0;0;309,6;38,3;66,6
2017;1164,1;806,5;143,6;636,2;26,7;4,9;2,6;1,8;17,4;327,2;49,8;80,2
2018;1122,8;725,4;144,3;553,5;27,6;4,9;2,6;1,9;18,2;346,6;43,8;94,6
2019;1145,7;710,4;145,7;537,6;27;4,4;2,7;1,9;18;368,3;38,6;105,6
2020;1053;634,4;146,4;467,3;20,6;3,7;2,9;2;12,1;345,8;40,1;113
2021;1340,3;889,6;149,5;724,7;15,4;2;3;2,2;8,3;384,7;52,2;118,2
2022;1356,2;936,2;148,8;763,6;23,8;3,5;3,1;2,4;14,8;374,4;63,8;109,3
2023;1479,5;1002,4;150,7;818,2;33,5;4,4;3,2;2,4;23,4;427;55,1;105,2
2024;1493,2;1008,4;150,4;813,8;44,2;4,1;3,3;2,6;34,2;436,9;60,8;108,6
2025;1454,4;932,7;132,9;755,9;43,9;4;3,3;2,7;34;472,8;64,3;113,1
