Jahr;Quartal;Insgesamt;Getötete;Schwerverletzte;Leichtverletzte
1995;Jahreswert (endgültig);3029;46;650;2333
1996;Jahreswert (endgültig);2979;27;634;2318
1997;Jahreswert (endgültig);2783;26;543;2214
1998;Jahreswert (endgültig);2570;25;500;2045
1999;Jahreswert (endgültig);3063;23;558;2482
2000;Jahreswert (endgültig);3080;19;465;2596
2001;Jahreswert (endgültig);2997;22;456;2519
2002;Jahreswert (endgültig);2850;29;479;2342
2003;Jahreswert (endgültig);2673;21;407;2245
2004;Jahreswert (endgültig);2498;23;396;2079
2005;1. Quartal;426;3;75;348
2005;2. Quartal;920;1;148;771
2005;3. Quartal;730;4;117;609
2005;4. Quartal;666;1;113;552
2005;Jahreswert (endgültig);2742;9;453;2280
2006;1. Quartal;440;2;54;384
2006;2. Quartal;749;7;116;626
2006;3. Quartal;744;5;112;627
2006;4. Quartal;707;6;98;603
2006;Jahreswert (endgültig);2640;20;380;2240
2007;1. Quartal;588;5;93;490
2007;2. Quartal;786;5;157;624
2007;3. Quartal;767;6;136;625
2007;4. Quartal;650;7;110;533
2007;Jahreswert (endgültig);2791;23;496;2272
2008;1. Quartal;479;0;96;383
2008;2. Quartal;800;2;143;655
2008;3. Quartal;776;3;130;643
2008;4. Quartal;614;4;119;491
2008;Jahreswert (endgültig);2669;9;488;2172
2009;1. Quartal;426;2;91;333
2009;2. Quartal;806;1;142;663
2009;3. Quartal;838;2;144;692
2009;4. Quartal;685;2;84;599
2009;Jahreswert (endgültig);2755;7;461;2287
2010;1. Quartal;398;0;72;326
2010;2. Quartal;780;0;143;637
2010;3. Quartal;810;2;140;668
2010;4. Quartal;583;0;86;497
2010;Jahreswert (endgültig);2571;2;441;2128
2011;1. Quartal;419;0;72;347
2011;2. Quartal;806;1;149;656
2011;3. Quartal;891;3;166;722
2011;4. Quartal;673;4;114;555
2011;Jahreswert (endgültig);2789;8;501;2280
2012;1. Quartal;539;1;101;437
2012;2. Quartal;815;4;138;673
2012;3. Quartal;846;4;129;713
2012;4. Quartal;525;4;87;434
2012;Jahreswert (endgültig);2725;13;455;2257
2013;1. Quartal;374;1;60;313
2013;2. Quartal;683;6;109;568
2013;3. Quartal;808;3;119;686
2013;4. Quartal;683;4;116;563
2013;Jahreswert (endgültig);2548;14;404;2130
2014;1. Quartal;515;2;73;440
2014;2. Quartal;789;1;149;639
2014;3. Quartal;860;12;180;668
2014;4. Quartal;676;1;110;565
2014;Jahreswert (endgültig);2840;16;512;2312
2015;1. Quartal;553;3;85;465
2015;2. Quartal;690;2;101;587
2015;3. Quartal;693;5;121;567
2015;4. Quartal;684;3;87;594
2015;Jahreswert (endgültig);2620;13;394;2213
2016;1. Quartal;450;3;73;374
2016;2. Quartal;772;4;115;653
2016;3. Quartal;826;3;140;683
2016;4. Quartal;641;1;99;541
2016;Jahreswert (endgültig);2689;11;427;2251
2017;1. Quartal;460;0;97;363
2017;2. Quartal;732;2;126;604
2017;3. Quartal;814;2;118;694
2017;4. Quartal;619;0;101;518
2017;Jahreswert (endgültig);2625;4;442;2179
2018;1. Quartal;451;2;67;382
2018;2. Quartal;870;1;133;736
2018;3. Quartal;847;4;145;698
2018;4. Quartal;616;2;86;528
2018;Jahreswert (endgültig);2784;9;431;2344
2019;1. Quartal;489;4;70;415
2019;2. Quartal;799;1;127;671
2019;3. Quartal;824;2;146;676
2019;4. Quartal;610;0;88;522
2019;Jahreswert (endgültig);2722;7;431;2284
2020;1. Quartal;473;3;69;401
2020;2. Quartal;612;0;116;496
2020;3. Quartal;842;6;154;682
2020;4. Quartal;540;1;81;458
2020;Jahreswert (endgültig);2498;10;424;2064
2021;1. Quartal;283;0;50;233
2021;2. Quartal;604;2;96;506
2021;3. Quartal;758;2;117;639
2021;4. Quartal;559;0;84;475
2021;Jahreswert (endgültig);2239;4;353;1882
2022;1. Quartal;424;0;66;358
2022;2. Quartal;779;3;100;676
2022;3. Quartal;796;0;106;690
2022;4. Quartal;600;3;76;521
2022;Jahreswert (endgültig);2675;6;365;2304
2023;1. Quartal;467;2;67;398
2023;2. Quartal;678;5;87;586
2023;3. Quartal;737;0;129;608
2023;4. Quartal;599;1;80;518
2023;Jahreswert (endgültig);2631;6;389;2236
2024;1. Quartal;508;3;79;426
2024;2. Quartal;701;0;93;608
2024;3. Quartal;769;3;106;660
2024;4. Quartal;652;1;92;559
2024;Jahreswert (endgültig);2709;7;383;2319
2025;1. Quartal;458;1;59;398
2025;2. Quartal;745;3;102;640
2025;3. Quartal;754;1;106;647
2025;4. Quartal;590;4;75;511
2025;Jahreswert (endgültig);2626;9;356;2261
2026;1. Quartal;442;2;56;384
