Jahr;Monat;Betriebsart;Tourismus_Betriebe gesamt;Tourismus_Betriebe;Tourismus_Betten gesamt;Tourismus_Betten;Tourismus_Ankünfte;Tourismus_Übernachtungen
2000;01;Hotels;70;70;11560;11410;36687;76144
2000;01;Hotels garni;22;22;2127;2011;4713;9740
2000;01;Gasthöfe;10;10;200;196;511;1045
2000;01;Pensionen;31;30;799;670;1388;3811
2000;01;Jugendherbergen, Hütten und Hostels;4;4;618;392;1438;2909
2000;01;sonstige;5;4;140;80;347;1019
2000;02;Hotels;69;68;11356;10864;41920;80365
2000;02;Hotels garni;22;22;2127;2011;5339;11293
2000;02;Gasthöfe;10;10;200;196;606;1259
2000;02;Pensionen;32;31;813;665;1489;4345
2000;02;Jugendherbergen, Hütten und Hostels;4;4;618;392;2013;4456
2000;02;sonstige;5;4;140;80;266;867
2000;03;Hotels;69;69;11356;11288;59015;114291
2000;03;Hotels garni;22;22;2125;2011;7977;17273
2000;03;Gasthöfe;10;10;200;196;780;1755
2000;03;Pensionen;33;32;728;673;1934;4930
2000;03;Jugendherbergen, Hütten und Hostels;4;4;617;392;3190;6282
2000;03;sonstige;5;4;140;80;260;995
2000;04;Hotels;69;69;11342;11313;76286;161943
2000;04;Hotels garni;22;22;2054;2011;10971;25808
2000;04;Gasthöfe;10;10;204;200;1034;1982
2000;04;Pensionen;33;33;723;698;2458;6571
2000;04;Jugendherbergen, Hütten und Hostels;4;4;617;616;4385;9464
2000;04;sonstige;5;5;157;157;542;1665
2000;05;Hotels;70;70;11375;11344;98974;209133
2000;05;Hotels garni;22;22;2054;2011;14471;32906
2000;05;Gasthöfe;10;10;204;200;1334;2322
2000;05;Pensionen;32;32;719;694;2860;6990
2000;05;Jugendherbergen, Hütten und Hostels;4;4;617;616;5649;13046
2000;05;sonstige;5;5;157;157;813;2251
2000;06;Hotels;70;70;11368;11344;93991;200287
2000;06;Hotels garni;22;22;2038;2028;13420;31517
2000;06;Gasthöfe;10;10;204;200;1124;2196
2000;06;Pensionen;32;32;719;694;2648;6455
2000;06;Jugendherbergen, Hütten und Hostels;4;4;617;616;5878;13157
2000;06;sonstige;5;5;157;157;531;1589
2000;07;Hotels;70;70;11376;11350;85137;176725
2000;07;Hotels garni;22;22;2038;2028;11690;27198
2000;07;Gasthöfe;10;10;204;200;999;2026
2000;07;Pensionen;32;32;719;694;2656;6374
2000;07;Jugendherbergen, Hütten und Hostels;4;4;617;616;5820;13207
2000;07;sonstige;5;5;157;157;405;1358
2000;08;Hotels;70;70;11376;11350;87871;180034
2000;08;Hotels garni;22;21;2038;2010;11227;26281
2000;08;Gasthöfe;10;10;204;200;1101;2250
