Jahr;Herkunftsland_37Auspr;Herkunftsland_24Auspr;Herkunftsland_05Auspr;Herkunftsland_D/A;Tourismus_Ankünfte;Tourismus_Übernachtungen
2000;Deutschland;Deutschland;Deutschland;Deutschland;976507;2069547
2000;Belgien;Belgien;Europa ohne Deutschland;Ausland;4305;8290
2000;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;5489;8603
2000;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;802;1630
2000;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;6849;13212
2000;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;750;1603
2000;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;462;1476
2000;Italien;Italien;Europa ohne Deutschland;Ausland;9784;16437
2000;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;818;1854
2000;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;7231;15773
2000;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1575;2570
2000;Österreich;Österreich;Europa ohne Deutschland;Ausland;10004;23279
2000;Polen;Polen;Europa ohne Deutschland;Ausland;2707;5331
2000;Schweden;Schweden;Europa ohne Deutschland;Ausland;5853;7938
2000;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;15612;37749
2000;Russland;Russland;Europa ohne Deutschland;Ausland;4675;9912
2000;Spanien;Spanien;Europa ohne Deutschland;Ausland;2935;5109
2000;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;1943;3616
2000;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;990;2495
2000;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;13094;27168
2000;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;4087;9387
2000;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;988;2418
2000;USA;USA;Amerika;Ausland;25789;57064
2000;Kanada;Kanada;Amerika;Ausland;2350;5069
2000;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1291;2321
2000;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;758;1365
2000;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;1361;2622
2000;China;China;Asien;Ausland;1034;2410
2000;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;1372;3034
2000;Japan;Japan;Asien;Ausland;24410;41371
2000;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;659;1041
2000;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;1366;1869
2000;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;239;460
2000;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;1863;3891
2000;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;2227;4194
2000;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;1549;3185
2001;Deutschland;Deutschland;Deutschland;Deutschland;992537;2159622
2001;Belgien;Belgien;Europa ohne Deutschland;Ausland;4086;7999
2001;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;5105;8492
2001;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;859;1872
2001;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;6430;13243
2001;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;824;1495
2001;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;439;1691
2001;Italien;Italien;Europa ohne Deutschland;Ausland;10227;17173
2001;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1017;2105
2001;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;7417;17028
2001;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1126;1982
2001;Österreich;Österreich;Europa ohne Deutschland;Ausland;10524;23216
2001;Polen;Polen;Europa ohne Deutschland;Ausland;2758;5411
2001;Schweden;Schweden;Europa ohne Deutschland;Ausland;5262;7219
2001;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;16445;41837
2001;Russland;Russland;Europa ohne Deutschland;Ausland;5199;11298
2001;Spanien;Spanien;Europa ohne Deutschland;Ausland;2478;4513
2001;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;2313;5137
2001;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1025;2063
2001;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;12041;25878
2001;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;3776;8822
2001;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;747;2092
2001;USA;USA;Amerika;Ausland;22733;54503
2001;Kanada;Kanada;Amerika;Ausland;1902;3980
2001;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1367;2644
