Jahr;Monat;Herkunftsland_24Auspr;Herkunftsland_05Auspr;Herkunftsland_D/A;Tourismus_Ankünfte;Tourismus_Übernachtungen
2000;01;Deutschland;Deutschland;Deutschland;41075;84879
2000;01;Belgien;Europa ohne Deutschland;Ausland;92;115
2000;01;Dänemark;Europa ohne Deutschland;Ausland;29;58
2000;01;Frankreich;Europa ohne Deutschland;Ausland;198;404
2000;01;Italien;Europa ohne Deutschland;Ausland;165;360
2000;01;Niederlande;Europa ohne Deutschland;Ausland;246;472
2000;01;Österreich;Europa ohne Deutschland;Ausland;326;632
2000;01;Polen;Europa ohne Deutschland;Ausland;113;143
2000;01;Schweden;Europa ohne Deutschland;Ausland;55;82
2000;01;Schweiz;Europa ohne Deutschland;Ausland;659;2109
2000;01;Russland;Europa ohne Deutschland;Ausland;111;205
2000;01;Spanien;Europa ohne Deutschland;Ausland;59;103
2000;01;Tschechische Republik;Europa ohne Deutschland;Ausland;59;91
2000;01;Großbritannien;Europa ohne Deutschland;Ausland;254;526
2000;01;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;254;520
2000;01;afrikanische Länder;Sonst. Ausland;Ausland;17;35
2000;01;USA;Amerika;Ausland;714;1870
2000;01;Kanada;Amerika;Ausland;18;27
2000;01;amerik. Länder (o.USA, Kanada);Amerika;Ausland;61;120
2000;01;China;Asien;Ausland;51;250
2000;01;Japan;Asien;Ausland;322;1029
2000;01;asiatische Länder (o.China, Japan);Asien;Ausland;113;460
2000;01;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;70;133
2000;01;Ausländer ohne Angabe;Sonst. Ausland;Ausland;23;45
2000;02;Deutschland;Deutschland;Deutschland;46786;91664
2000;02;Belgien;Europa ohne Deutschland;Ausland;107;168
2000;02;Dänemark;Europa ohne Deutschland;Ausland;46;78
2000;02;Frankreich;Europa ohne Deutschland;Ausland;256;517
2000;02;Italien;Europa ohne Deutschland;Ausland;139;281
2000;02;Niederlande;Europa ohne Deutschland;Ausland;279;495
2000;02;Österreich;Europa ohne Deutschland;Ausland;494;1195
2000;02;Polen;Europa ohne Deutschland;Ausland;183;397
2000;02;Schweden;Europa ohne Deutschland;Ausland;64;90
2000;02;Schweiz;Europa ohne Deutschland;Ausland;362;777
2000;02;Russland;Europa ohne Deutschland;Ausland;86;450
2000;02;Spanien;Europa ohne Deutschland;Ausland;103;197
2000;02;Tschechische Republik;Europa ohne Deutschland;Ausland;132;281
2000;02;Großbritannien;Europa ohne Deutschland;Ausland;508;1133
2000;02;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;355;968
2000;02;afrikanische Länder;Sonst. Ausland;Ausland;30;62
2000;02;USA;Amerika;Ausland;718;1608
2000;02;Kanada;Amerika;Ausland;45;126
2000;02;amerik. Länder (o.USA, Kanada);Amerika;Ausland;109;164
2000;02;China;Asien;Ausland;23;45
2000;02;Japan;Asien;Ausland;476;1307
2000;02;asiatische Länder (o.China, Japan);Asien;Ausland;212;405
2000;02;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;67;116
2000;02;Ausländer ohne Angabe;Sonst. Ausland;Ausland;53;61
2000;03;Deutschland;Deutschland;Deutschland;65856;129840
2000;03;Belgien;Europa ohne Deutschland;Ausland;187;380
2000;03;Dänemark;Europa ohne Deutschland;Ausland;114;185
2000;03;Frankreich;Europa ohne Deutschland;Ausland;308;663
2000;03;Italien;Europa ohne Deutschland;Ausland;398;647
