Jahr;Stadtbezirk;Anzahl Betriebe
2009;StB 0 Altstadt;4014
2009;StB 1 Neustadt;4562
2009;StB 2 Pieschen;3280
2009;StB 3 Klotzsche/nördliche Ortschaften;2004
2009;StB 4 Loschwitz/OS Schönfeld-Weißig;2127
2009;StB 5 Blasewitz;4737
2009;StB 6 Leuben;1934
2009;StB 7 Prohlis;3093
2009;StB 8 Plauen;3145
2009;StB 9 Cotta/westliche Ortschaften;4334
2010;StB 0 Altstadt;4282
2010;StB 1 Neustadt;5142
2010;StB 2 Pieschen;3622
2010;StB 3 Klotzsche/nördliche Ortschaften;2134
2010;StB 4 Loschwitz/OS Schönfeld-Weißig;2292
2010;StB 5 Blasewitz;4989
2010;StB 6 Leuben;2051
2010;StB 7 Prohlis;3240
2010;StB 8 Plauen;3289
2010;StB 9 Cotta/westliche Ortschaften;4594
2011;StB 0 Altstadt;4681
2011;StB 1 Neustadt;5485
2011;StB 2 Pieschen;3797
2011;StB 3 Klotzsche/nördliche Ortschaften;2227
2011;StB 4 Loschwitz/OS Schönfeld-Weißig;2401
2011;StB 5 Blasewitz;5123
2011;StB 6 Leuben;2089
2011;StB 7 Prohlis;3402
2011;StB 8 Plauen;3496
2011;StB 9 Cotta/westliche Ortschaften;4833
2012;StB 0 Altstadt;4759
2012;StB 1 Neustadt;5790
2012;StB 2 Pieschen;3811
2012;StB 3 Klotzsche/nördliche Ortschaften;2188
2012;StB 4 Loschwitz/OS Schönfeld-Weißig;2391
2012;StB 5 Blasewitz;5164
2012;StB 6 Leuben;2105
2012;StB 7 Prohlis;3341
2012;StB 8 Plauen;3540
2012;StB 9 Cotta/westliche Ortschaften;4845
2013;StB 0 Altstadt;4936
2013;StB 1 Neustadt;6047
2013;StB 2 Pieschen;3911
2013;StB 3 Klotzsche/nördliche Ortschaften;2149
2013;StB 4 Loschwitz/OS Schönfeld-Weißig;2370
2013;StB 5 Blasewitz;5167
2013;StB 6 Leuben;2109
2013;StB 7 Prohlis;3347
2013;StB 8 Plauen;3638
2013;StB 9 Cotta/westliche Ortschaften;4922
2014;StB 0 Altstadt;4992
2014;StB 1 Neustadt;6110
2014;StB 2 Pieschen;3882
2014;StB 3 Klotzsche/nördliche Ortschaften;2125
2014;StB 4 Loschwitz/OS Schönfeld-Weißig;2302
2014;StB 5 Blasewitz;5056
2014;StB 6 Leuben;2069
2014;StB 7 Prohlis;3300
2014;StB 8 Plauen;3619
2014;StB 9 Cotta/westliche Ortschaften;4783
2015;StB 0 Altstadt;5025
2015;StB 1 Neustadt;6123
2015;StB 2 Pieschen;3927
2015;StB 3 Klotzsche/nördliche Ortschaften;2137
2015;StB 4 Loschwitz/OS Schönfeld-Weißig;2258
2015;StB 5 Blasewitz;5054
2015;StB 6 Leuben;1996
2015;StB 7 Prohlis;3236
2015;StB 8 Plauen;3619
2015;StB 9 Cotta/westliche Ortschaften;4756
2016;StB 0 Altstadt;5108
2016;StB 1 Neustadt;6232
2016;StB 2 Pieschen;3953
2016;StB 3 Klotzsche/nördliche Ortschaften;2135
2016;StB 4 Loschwitz/OS Schönfeld-Weißig;2281
2016;StB 5 Blasewitz;5081
2016;StB 6 Leuben;2017
2016;StB 7 Prohlis;3228
2016;StB 8 Plauen;3624
2016;StB 9 Cotta/westliche Ortschaften;4730
2017;StB 0 Altstadt;5088
2017;StB 1 Neustadt;6226
2017;StB 2 Pieschen;3846
2017;StB 3 Klotzsche/nördliche Ortschaften;2113
2017;StB 4 Loschwitz/OS Schönfeld-Weißig;2256
2017;StB 5 Blasewitz;5026
2017;StB 6 Leuben;1960
2017;StB 7 Prohlis;3119
2017;StB 8 Plauen;3583
2017;StB 9 Cotta/westliche Ortschaften;4581
2018;StB 0 Altstadt;5139
2018;StB 1 Neustadt;5978
2018;StB 2 Pieschen;3786
2018;StB 3 Klotzsche/nördliche Ortschaften;2127
2018;StB 4 Loschwitz/OS Schönfeld-Weißig;2247
2018;StB 5 Blasewitz;4934
2018;StB 6 Leuben;1918
2018;StB 7 Prohlis;3014
2018;StB 8 Plauen;3544
2018;StB 9 Cotta/westliche Ortschaften;4571
2019;StB 0 Altstadt;5179
2019;StB 1 Neustadt;5899
2019;StB 2 Pieschen;3745
2019;StB 3 Klotzsche/nördliche Ortschaften;2072
2019;StB 4 Loschwitz/OS Schönfeld-Weißig;2236
2019;StB 5 Blasewitz;4906
2019;StB 6 Leuben;1902
2019;StB 7 Prohlis;2936
2019;StB 8 Plauen;3469
2019;StB 9 Cotta/westliche Ortschaften;4468
2020;StB 0 Altstadt;5231
2020;StB 1 Neustadt;5776
2020;StB 2 Pieschen;3712
2020;StB 3 Klotzsche/nördliche Ortschaften;2045
2020;StB 4 Loschwitz/OS Schönfeld-Weißig;2282
2020;StB 5 Blasewitz;4906
2020;StB 6 Leuben;1858
2020;StB 7 Prohlis;2936
2020;StB 8 Plauen;3398
2020;StB 9 Cotta/westliche Ortschaften;4409
2021;StB 0 Altstadt;5503
2021;StB 1 Neustadt;5888
2021;StB 2 Pieschen;3855
2021;StB 3 Klotzsche/nördliche Ortschaften;2094
2021;StB 4 Loschwitz/OS Schönfeld-Weißig;2313
2021;StB 5 Blasewitz;5094
2021;StB 6 Leuben;1927
2021;StB 7 Prohlis;2980
2021;StB 8 Plauen;3427
2021;StB 9 Cotta/westliche Ortschaften;4533
2022;StB 0 Altstadt;5237
2022;StB 1 Neustadt;5846
2022;StB 2 Pieschen;3867
2022;StB 3 Klotzsche/nördliche Ortschaften;2049
2022;StB 4 Loschwitz/OS Schönfeld-Weißig;2304
2022;StB 5 Blasewitz;5039
2022;StB 6 Leuben;1871
2022;StB 7 Prohlis;2922
2022;StB 8 Plauen;3322
2022;StB 9 Cotta/westliche Ortschaften;4367
