Jahr;WZ-Abschnitt 2008 (1 Buchstabe) zus.;WZ-Abschnitt 2008 (1 Buchstabe);WZ-Abteilung 2008 (2 Ziffern);Anzahl Betriebe
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;10-Herst. von Nahrungs- und Futtermitteln;49
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;11-Getränkeherstellung;7
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;12-TabakVerarb.;1
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;13-Herst. von Textilien;25
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;14-Herst. von Bekleidung;9
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;15-Herst. von Leder, Lederwaren und Schuhen;1
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;16-Herst. Holz-,Flecht-,Korb-+Korkw. (oh.Möbel);26
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;17-Herst. von Papier, Pappe und Waren daraus;11
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";121
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;19-Kokerei und MineralölVerarb.;1
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;20-Herst. von chemischen Erzeugnissen;23
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;21-Herst. von pharmazeutischen Erzeugnissen;8
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;22-Herst. von Gummi- und Kunststoffwaren;42
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;52
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;24-Metallerzeugung und -bearbeitung;12
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;25-Herst. von Metallerzeugnissen;102
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;136
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;27-Herst. von elektrischen Ausrüstungen;58
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;28-Maschinenbau;93
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;29-Herst. von Kraftwagen und Kraftwagenteilen;11
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;30-Sonstiger Fahrzeugbau;13
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;31-Herst. von Möbeln;10
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;32-Herst. von sonstigen Waren;137
2009;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;33-Rep. + Install. v. Maschinen + Ausrüstungen;84
2009;F - Baugewerbe;F - Baugewerbe;41-Hochbau;261
2009;F - Baugewerbe;F - Baugewerbe;42-Tiefbau;24
2009;F - Baugewerbe;F - Baugewerbe;43-Baustellenvorb.,Bauinst.,sonst. Ausbaugew.;873
2009;"G - Handel;Instandh.+ Rep. v. KFZ";G - Handel - Instandh.+ Rep. v. KFZ;"45-Handel Kfz; Instandh.+Rep. v. Kraftfahrz.";673
2009;"G - Handel;Instandh.+ Rep. v. KFZ";G - Handel - Instandh.+ Rep. v. KFZ;46-Großhandel (ohne Handel mit Kraftfahrzeugen);2322
2009;"G - Handel;Instandh.+ Rep. v. KFZ";G - Handel - Instandh.+ Rep. v. KFZ;47-Einzelhandel (ohne Handel mit Kraftfahrzeugen);4837
2009;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;"49-Landverkehr; Transport in Rohrfernleitungen";666
2009;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;50-Schifffahrt;4
2009;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;51-Luftfahrt;9
2009;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;52-Lagerei sowie sonst. DL für den Verkehr;213
2009;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;53-Post-, Kurier- und Expressdienste;240
2009;I - Gastgewerbe;I - Gastgewerbe;55-Beherbergung;300
2009;I - Gastgewerbe;I - Gastgewerbe;56-Gastronomie;1544
2009;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;58-Verlagswesen;154
2009;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;"59-Film+Musikherst.,Verleih,Vertrieb; Kinos";132
2009;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;60-Rundfunkveranstalter;22
2009;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;61-Telekommunikation;70
2009;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;62-Erbr. von DL der Informationstechnologie;1272
2009;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;63-InformationsDL;267
2009;K - Finanz- u. VersicherungsDL;K - Finanz- u. VersicherungsDL;64-Erbr. von FinanzDL;199
2009;K - Finanz- u. VersicherungsDL;K - Finanz- u. VersicherungsDL;65-Versich.,Rückvers.,Pensionsk.(oh Sozialver.);52
2009;K - Finanz- u. VersicherungsDL;K - Finanz- u. VersicherungsDL;66-Mit Finanz-+ Versich.DL verb. Tätigkeiten;1818
2009;L - Grundstücks- u. Wohnungswesen;L - Grundstücks- u. Wohnungswesen;68-Grundstücks- und Wohnungswesen;1522
2009;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;69-Rechts- + Steuerberatung, Wirtschaftsprüfung;405
2009;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;"70-Verw.+Führg v. Untern.+Betr.;Untern.beratung";1350
2009;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;"71-Arch./Ing.büros;techn.,phys.+chem. Unters.";851
2009;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;72-Forschung und Entwicklung;96
2009;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;73-Werbung und Marktforschung;2267
