Jahr;Beschäftigtengrößenklassen_4;SV-pflichtig Beschäftigte;Anzahl Betriebe
2006;0-9 svB;29543;20118
2006;10-49 svB;39924;1961
2006;50-249 svB;54805;555
2006;250 u.m.;65396;90
2007;0-9 svB;29696;20550
2007;10-49 svB;41547;2065
2007;50-249 svB;58210;588
2007;250 u.m.;67035;92
2008;0-9 svB;30001;21048
2008;10-49 svB;43017;2132
2008;50-249 svB;59930;604
2008;250 u.m.;65199;91
2009;0-9 svB;30464;21132
2009;10-49 svB;44210;2185
2009;50-249 svB;59574;589
2009;250 u.m.;61847;89
2010;0-9 svB;30900;21356
2010;10-49 svB;45058;2203
2010;50-249 svB;60308;600
2010;250 u.m.;65373;97
2011;0-9 svB;31380;21796
2011;10-49 svB;46411;2254
2011;50-249 svB;63627;622
2011;250 u.m.;66085;94
2012;0-9 svB;31551;22033
2012;10-49 svB;47529;2310
2012;50-249 svB;63637;631
2012;250 u.m.;67252;96
2013;0-9 svB;31468;21767
2013;10-49 svB;48181;2356
2013;50-249 svB;64530;642
2013;250 u.m.;69415;96
2014;0-9 svB;31975;22116
2014;10-49 svB;48941;2369
2014;50-249 svB;63943;634
2014;250 u.m.;73386;101
2015;0-9 svB;32026;21452
2015;10-49 svB;50218;2451
2015;50-249 svB;66702;660
2015;250 u.m.;74584;102
2016;0-9 svB;32594;21611
2016;10-49 svB;51756;2495
2016;50-249 svB;68418;674
2016;250 u.m.;76357;106
2017;0-9 svB;32843;21485
2017;10-49 svB;53027;2570
2017;50-249 svB;69317;689
2017;250 u.m.;80646;113
