Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Stadtteil zus.;WZ-Abteilung 2008 (2 Ziffern);Beschäftigtengrößenklassen_4;Anzahl Niederlassungen
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;27-Herst. von elektrischen Ausrüstungen;0-9 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;32-Herst. von sonstigen Waren;0-9 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;37-Abwasserentsorgung;0-9 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;41-Hochbau;0-9 svB;4
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;41-Hochbau;10-49 svB;2
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;41-Hochbau;50-249 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;43-Baustellenvorb.,Bauinst.,sonst. Ausbaugew.;0-9 svB;4
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;43-Baustellenvorb.,Bauinst.,sonst. Ausbaugew.;10-49 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;"45-Handel Kfz; Instandh.+Rep. v. Kraftfahrz.";0-9 svB;2
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;46-Großhandel (ohne Handel mit Kraftfahrzeugen);0-9 svB;12
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;46-Großhandel (ohne Handel mit Kraftfahrzeugen);10-49 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;47-Einzelhandel (ohne Handel mit Kraftfahrzeugen);0-9 svB;136
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;47-Einzelhandel (ohne Handel mit Kraftfahrzeugen);10-49 svB;39
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;47-Einzelhandel (ohne Handel mit Kraftfahrzeugen);50-249 svB;7
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;"49-Landverkehr; Transport in Rohrfernleitungen";10-49 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;50-Schifffahrt;50-249 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;52-Lagerei sowie sonst. DL für den Verkehr;0-9 svB;4
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;52-Lagerei sowie sonst. DL für den Verkehr;10-49 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;55-Beherbergung;0-9 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;55-Beherbergung;10-49 svB;7
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;55-Beherbergung;50-249 svB;6
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;56-Gastronomie;0-9 svB;56
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;56-Gastronomie;10-49 svB;45
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;56-Gastronomie;50-249 svB;3
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;58-Verlagswesen;10-49 svB;2
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;58-Verlagswesen;50-249 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;"59-Film+Musikherst.,Verleih,Vertrieb; Kinos";0-9 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;61-Telekommunikation;10-49 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;62-Erbr. von DL der Informationstechnologie;0-9 svB;13
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;62-Erbr. von DL der Informationstechnologie;10-49 svB;10
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;62-Erbr. von DL der Informationstechnologie;50-249 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;62-Erbr. von DL der Informationstechnologie;250 u.m.;2
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;63-InformationsDL;10-49 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;64-Erbr. von FinanzDL;0-9 svB;3
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;64-Erbr. von FinanzDL;10-49 svB;3
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;65-Versich.,Rückvers.,Pensionsk.(oh Sozialver.);10-49 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;66-Mit Finanz-+ Versich.DL verb. Tätigkeiten;0-9 svB;8
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;68-Grundstücks- und Wohnungswesen;0-9 svB;29
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;68-Grundstücks- und Wohnungswesen;10-49 svB;1
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;01 Innere Altstadt;69-Rechts- + Steuerberatung, Wirtschaftsprüfung;0-9 svB;17
