Jahr;Bundesautobahnen (gesamt);Tunnelstrecke an Bundesautobahn;Straßen des überörtlichen Verkehrs (gesamt);Bundesstraßen;Staatsstraßen;Kreisstraßen;Tunnelstrecke an Straßen des überörtlichen Verkehrs;Gemeindestraßen;Radwege-kombinierte Rad-Gehwege;Gehwege (selbstständige);Straßenbrücken (Anzahl);Straßentunnel (Anzahl);Bundesstraßen (Baulast der Stadt);Staatsstraßen (Baulast der Stadt);Kreisstraßen (Baulast der Stadt)
1990;-;-;-;-;-;-;-;940;14;73;167;0;54;36;28
1995;-;-;-;-;-;-;0,1;989;105;101;176;1;54;38;26
1996;11;-;137;58;53;26;0,1;990;119;101;196;1;54;38;26
1997;18;-;138;57;53;28;0,1;1026;131;115;170;1;58;38;33
1998;18;-;148;62;53;33;0,1;1029;179;106;181;1;57;42;31
1999;20;-;226;71;75;80;0,1;1183;180;130;239;1;58;53;78
2000;21;-;227;72;75;80;0,6;1189;200;123;212;2;61;53;78
2001;22;-;240;75;85;80;0,6;1183;213;114;225;2;62;58;80
2002;22;-;243;77;86;80;0,6;1193;266;115;223;3;64;60;80
2006;-;-;246;79;87;80;1,3;1205;337;162;230;3;65;60;80
2007;34;3,7;246;80;86;80;1,3;1211;340;165;242;3;66;55;80
2008;34;-;246;80;86;80;1,3;1215;366;168;-;3;68;55;80
2009;34;-;246;81;85;80;1,3;1217;370;126;240;3;68;55;80
2010;34;3,7;245;81;85;79;1,3;1220;377;127;247;3;68;55;79
2011;34;3,7;245;80;86;79;1,3;1222;381;128;249;3;68;55;79
2012;34;3,7;246;81;86;79;1,3;1219;391;125;249;3;69;55;79
2013;34;3,7;246;81;86;79;2,1;1222;402;125;250;4;70;55;79
2014;34;3,7;243;70;94;79;2,1;1227;409;125;250;4;59;63;79
2015;34;3,7;243;70;94;79;2,1;1227;409;125;250;4;59;63;79
2016;34;3,7;243;70;94;79;2,1;1231;411;125;250;4;59;63;79
2017;34;3,7;243;70;94;79;2,1;1232;411;125;250;4;59;63;79
2018;34;3,7;243;70;94;79;2,1;1233;411;125;250;4;60;63;79
2019;34;3,7;243;70;94;79;2,1;1235;420;115;249;4;59;63;79
2020;34;3,7;250;72;99;79;2,1;1235;423;115;252;4;59;63;79
2021;34;3,7;250;72;99;79;2,1;1236;429;115;254;4;59;63;79
2022;34;3,7;250;72;99;79;2,1;1235;429;125;254;4;59;63;79
2023;34;3,7;250;72;99;79;2,1;1238;428;127;254;4;59;63;79
2024;34;3,7;250;72;99;79;2,1;1239;428;128;254;4;59;63;79
2025;34;3,7;250;72;99;79;2,1;1237;447;128;258;4;59;63;79
