Jahr;Wahlbezirk;Stadtteil zus.;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Wahl-Form;Wahlberechtigte;Wahlberechtigte mit WS;Wähler;Wähler mit WS;Stimmen gültig;Stimmen CDU;Stimmen SPD;Stimmen Die Linke;Stimmen Grüne;Stimmen FDP;Stimmen Rechte Parteien;Stimmen AfD;Stimmen Piraten;Stimmen sonstiger Parteien;Stimmen ungültig
1999;01000;01 Innere Altstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;261;261;699;196;91;306;26;32;2;0;0;46;24
1999;01100;01 Innere Altstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1427;250;694;0;1968;589;250;812;75;74;30;0;0;138;19
1999;02000;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;629;629;1828;668;245;645;43;97;7;0;0;123;8
1999;02100;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;633;108;295;0;838;196;144;387;13;45;6;0;0;47;12
1999;02200;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1277;133;583;0;1601;559;192;578;26;83;27;0;0;136;23
1999;02300;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;993;84;450;1;1287;503;135;392;52;90;32;0;0;83;15
1999;02401;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;881;136;345;1;1004;436;173;244;5;51;4;0;0;91;5
1999;02402;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;684;81;375;1;1054;492;178;270;13;51;3;0;0;47;10
1999;02500;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;988;128;497;0;1391;600;156;399;47;71;19;0;0;99;23
1999;03000;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;673;673;1745;700;256;476;61;136;9;0;0;107;67
1999;03100;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1251;185;460;1;1312;504;89;391;33;146;23;0;0;126;9
1999;03200;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1198;145;618;0;1747;753;193;510;30;176;19;0;0;66;19
1999;03300;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1296;149;643;0;1768;736;229;400;46;183;39;0;0;135;34
1999;03401;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;614;74;293;0;847;367;136;209;16;58;15;0;0;46;4
1999;03402;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;969;118;502;0;1452;600;247;393;48;98;11;0;0;55;8
1999;04001;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;417;417;1076;408;120;386;27;68;13;0;0;54;51
1999;04002;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;410;410;1172;391;146;438;24;61;8;0;0;104;8
1999;04100;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;566;65;298;0;824;321;123;243;42;35;9;0;0;51;11
1999;04200;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;953;132;380;0;1096;473;125;390;10;34;13;0;0;51;8
1999;04301;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1003;118;470;0;1303;416;170;566;38;4;24;0;0;85;11
1999;04302;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1040;125;518;0;1484;582;204;507;27;36;24;0;0;104;18
1999;04400;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1244;134;642;0;1821;755;269;506;37;91;53;0;0;110;23
1999;04500;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1216;152;623;0;1779;601;257;705;26;50;31;0;0;109;16
1999;04600;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1116;153;599;0;1698;660;214;546;25;122;8;0;0;123;14
1999;05000;05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;238;238;699;152;178;204;71;25;8;0;0;61;4
1999;05100;05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1226;70;409;0;1167;373;171;327;101;57;34;0;0;104;8
