Jahr;Wahlbezirk;Stadtteil zus.;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Wahl-Form;Wahlberechtigte;Wahlberechtigte mit WS;Wähler;Wähler mit WS;Stimmen gültig;Stimmen CDU;Stimmen SPD;Stimmen Die Linke;Stimmen Grüne;Stimmen FDP;Stimmen Rechte Parteien;Stimmen AfD;Stimmen Piraten;Stimmen sonstiger Parteien;Stimmen ungültig
1999;01000;01 Innere Altstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;323;323;313;116;29;140;15;1;3;0;0;9;10
1999;01100;01 Innere Altstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1385;338;673;0;659;272;72;242;32;4;15;0;0;22;14
1999;02000;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;813;813;811;428;74;256;20;8;7;0;0;18;2
1999;02100;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;629;110;356;0;348;124;34;157;10;1;8;0;0;14;8
1999;02200;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1269;175;615;0;599;301;54;208;7;2;15;0;0;12;16
1999;02300;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;975;74;459;0;446;219;35;139;17;2;17;0;0;17;13
1999;02401;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;877;188;387;0;378;192;46;122;2;2;5;0;0;9;9
1999;02402;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;679;105;399;0;392;216;46;106;8;4;8;0;0;4;7
1999;02500;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;988;183;517;0;495;261;41;148;18;3;10;0;0;14;22
1999;03000;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;850;850;846;438;79;276;28;1;4;0;0;20;4
1999;03100;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1209;255;496;0;485;259;42;143;12;7;6;0;0;16;11
1999;03200;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1168;203;606;0;599;333;53;169;9;5;11;0;0;19;7
1999;03300;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1296;206;682;0;673;379;69;161;22;2;17;0;0;23;9
1999;03401;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;605;74;397;0;381;227;38;74;14;1;9;0;0;18;16
1999;03402;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;977;143;581;0;573;307;53;163;20;5;10;0;0;15;8
1999;04001;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;517;517;515;262;40;180;17;2;2;0;0;12;2
1999;04002;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;575;575;574;276;45;209;14;3;5;0;0;22;1
1999;04100;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;594;90;331;0;328;171;39;91;15;1;4;0;0;7;3
1999;04200;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;943;153;410;0;405;204;35;139;6;1;6;0;0;14;5
1999;04301;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;980;165;488;1;482;204;48;184;17;4;12;0;0;13;6
1999;04302;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1034;151;573;0;564;303;58;170;7;2;11;0;0;13;9
1999;04400;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1244;183;700;3;681;380;69;173;17;2;18;0;0;22;19
