Jahr;Wahlbezirk;Stadtteil zus.;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Wahl-Form;Wahlberechtigte;Wahlberechtigte mit WS;Wähler;Wähler mit WS;Stimmen gültig;Stimmen CDU;Stimmen SPD;Stimmen Die Linke;Stimmen Grüne;Stimmen FDP;Stimmen Rechte Parteien;Stimmen AfD;Stimmen Piraten;Stimmen sonstiger Parteien;Stimmen ungültig
2019;01000;01 Innere Altstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;311;311;901;182;75;196;248;77;0;65;19;39;9
2019;01100;01 Innere Altstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1360;344;600;0;1708;195;169;380;390;182;0;257;46;89;16
2019;02001;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;550;550;1568;330;209;347;264;88;0;187;28;115;7
2019;02002;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;339;339;998;234;96;211;163;95;0;94;29;76;1
2019;02100;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1404;292;593;1;1703;208;146;468;359;104;0;202;73;143;5
2019;02200;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1750;369;705;1;2019;307;201;514;364;94;0;294;77;168;13
2019;02400;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1385;299;560;0;1559;347;166;246;205;101;0;371;20;103;13
2019;03001;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;473;473;1381;255;163;264;313;105;0;154;30;97;2
2019;03002;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;642;642;1806;377;209;355;321;148;0;222;42;132;26
2019;03100;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1349;242;517;0;1453;222;134;260;301;107;0;272;50;107;12
2019;03200;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1307;265;579;1;1634;295;142;319;292;88;0;281;50;167;12
2019;03300;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1243;238;622;0;1738;419;137;351;287;118;0;284;46;96;22
2019;03401;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1265;286;551;0;1494;287;164;277;230;106;0;300;47;83;15
2019;03402;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;735;188;362;6;1027;215;84;132;209;74;0;213;10;90;7
2019;04001;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;888;888;2511;551;269;529;488;234;0;246;60;134;4
2019;04002;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;515;515;1514;281;189;405;190;101;0;203;35;110;3
2019;04100;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1435;406;597;1;1711;253;147;287;473;177;0;213;37;124;9
2019;04200;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1268;313;458;0;1297;234;110;233;270;124;0;208;27;91;9
2019;04300;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1353;240;544;1;1529;226;135;302;226;103;0;349;58;130;12
2019;04400;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1184;260;455;0;1199;238;123;225;198;70;0;229;27;89;11
2019;04500;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1015;166;453;1;1258;171;106;287;175;61;0;295;29;134;12
2019;04600;04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;918;165;452;0;1262;252;154;258;124;61;0;292;18;103;10
2019;05001;05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;614;614;1827;184;167;392;519;152;0;131;126;156;3
2019;05002;05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;572;572;1684;245;172;313;487;136;0;106;113;112;1
2019;05101;05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;801;116;279;2;808;121;73;179;105;51;0;179;19;81;3
2019;05102;05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1298;258;604;0;1744;195;95;322;472;118;0;218;141;183;6
2019;05200;05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1498;314;613;0;1769;97;133;427;526;108;0;161;139;178;12
2019;05301;05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1743;454;665;2;1883;137;153;403;564;176;0;223;68;159;10
2019;05302;05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1118;194;406;3;1155;89;93;310;205;73;0;209;86;90;8
2019;06001;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;408;408;1183;231;144;300;169;49;0;140;33;117;5
2019;06002;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;687;687;2000;273;230;394;637;121;0;151;54;140;9
2019;06003;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;665;665;1815;294;166;350;527;124;0;196;26;132;41
2019;06100;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1014;169;557;0;1522;319;175;287;104;72;0;376;24;165;16
2019;06200;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1124;190;493;1;1395;193;167;326;262;63;0;274;30;80;15
2019;06300;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;760;84;266;2;737;107;54;165;61;49;0;215;27;59;9
2019;06400;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1187;258;530;2;1485;283;161;268;294;55;0;285;44;95;15
2019;06500;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;941;234;531;1;1536;203;135;269;500;109;0;149;63;108;9
2019;06600;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1500;305;634;2;1769;250;157;374;358;132;0;294;67;137;16
2019;06700;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;841;258;413;6;1185;127;182;232;393;57;0;96;30;68;5
2019;06800;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1722;401;688;2;1979;301;196;417;583;147;0;172;62;101;10
2019;07001;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;656;656;1864;441;247;366;229;132;0;284;25;140;19
2019;07002;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;529;529;1492;334;143;353;181;90;0;282;23;86;31
2019;07003;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;700;700;1976;371;220;487;235;113;0;355;36;159;19
2019;07100;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1203;242;563;1;1598;360;119;329;238;100;0;268;51;133;13
2019;07200;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;927;192;489;1;1345;304;142;240;117;105;0;358;14;65;18
2019;07300;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1208;285;546;0;1491;317;148;263;169;86;0;350;42;116;15
2019;07400;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1578;336;657;0;1819;390;141;364;205;117;0;474;16;112;29
2019;07500;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1289;259;524;0;1477;296;159;337;152;70;0;350;18;95;9
2019;07600;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;947;246;397;0;1071;219;101;228;99;67;0;283;12;62;12
2019;07700;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;912;166;377;0;1049;140;120;290;156;38;0;206;35;64;10
2019;07800;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;988;138;441;0;1207;226;112;285;139;58;0;275;30;82;12
2019;07900;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1053;199;504;0;1382;275;108;232;198;113;0;308;29;119;12
2019;11001;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Brief;0;0;635;635;1828;127;189;484;671;77;0;55;93;132;5
2019;11002;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Brief;0;0;597;597;1771;121;194;413;739;58;0;54;103;89;6
2019;11003;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Brief;0;0;715;715;2099;101;220;490;920;39;0;71;112;146;4
2019;11004;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Brief;0;0;753;753;2214;89;207;537;1015;58;0;33;128;147;9
2019;11005;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Brief;0;0;655;655;1855;122;242;467;677;81;0;59;88;119;3
2019;11100;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1751;493;763;10;2266;128;199;626;912;71;0;59;94;177;3
2019;11200;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1338;360;692;4;2028;104;187;515;875;68;0;42;119;118;10
2019;11300;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1317;293;656;5;1955;126;206;522;629;79;0;123;105;165;3
2019;11401;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;838;219;446;3;1321;56;91;319;529;69;0;52;93;112;0
2019;11402;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1011;233;489;6;1426;127;134;344;495;48;0;84;74;120;9
2019;11500;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1607;430;860;3;2527;60;232;659;1060;61;0;100;136;219;6
2019;11601;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1205;343;663;3;1956;74;262;488;839;51;0;38;108;96;7
2019;11602;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1440;403;779;7;2302;64;207;613;985;58;0;100;148;127;3
2019;11700;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1409;415;721;3;2116;77;161;560;940;34;0;111;131;102;9
2019;11800;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1659;458;770;5;2269;106;180;595;956;54;0;91;119;168;6
2019;12001;12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Brief;0;0;834;834;2481;372;257;346;956;207;0;160;55;128;3
2019;12002;12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Brief;0;0;669;669;1946;320;226;409;452;160;0;192;53;134;18
2019;12100;12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;924;292;492;3;1437;155;137;265;522;83;0;106;64;105;5
