Stationsidentifikationsnummer;Datum;Jahr;Monat;Tag;Qualitätsniveau der nachfolgenden Spalten (QN_3);Tagesmaximum Windspitze;Tagesmittel Windgeschwindigkeit;Qualitätsniveau der nachfolgenden Spalten (QN_4);tägliche Niederschlagshöhe;Niederschlagsform;tägliche Sonnenscheindauer;Tageswert Schneehöhe;Tagesmittel des Bedeckungsgrades;Tagesmittel des Dampfdruckes;Tagesmittel des Luftdrucks;Tagesmittel der Temperatur;Tagesmittel der Relativen Feuchte;Tagesmaximum der Lufttemperatur in 2m Höhe;Tagesminimum der Lufttemperatur in 2m Höhe;Minimum der Lufttemperatur am Erdboden in 5cm Höhe
1048;19340101;1934;01;01;-;-;-;1;0,2;"Regen und Schnee (und/oder Schneeregen); flüssiger und fester Niederschlag bei automatischen Stationen";-;0;8;6,4;1008,6;0,5;97;0,7;0,2;-
1048;19340102;1934;01;02;-;-;-;1;0,1;"nur Schnee; fester Niederschlag bei automatischen Stationen";-;0;8;5,9;1006,2;-0,1;90;0,9;-0,8;-
1048;19340103;1934;01;03;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;8;5,2;1001,6;-0,7;85;-0,1;-1;-
1048;19340104;1934;01;04;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;8;4,8;1001,4;-1,6;82;-0,3;-3,5;-
1048;19340105;1934;01;05;-;-;-;1;10,1;"Regen und Schnee (und/oder Schneeregen); flüssiger und fester Niederschlag bei automatischen Stationen";-;0;5;6,3;996;0,9;92;2,8;-3,8;-
1048;19340106;1934;01;06;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;8;6,4;1009,6;2;87;2,5;0,7;-
1048;19340107;1934;01;07;-;-;-;1;0,2;nur Regen (in historischen Daten vor 1979);-;0;6;5,9;1010,3;1,8;80;3,9;0,2;-
1048;19340108;1934;01;08;-;-;-;1;0,2;"nur Schnee; fester Niederschlag bei automatischen Stationen";-;0;5;5,1;1003,3;1,7;71;6,8;-3,1;-
1048;19340109;1934;01;09;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;8;5,5;1009,2;0,1;84;2,9;-1,1;-
1048;19340110;1934;01;10;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;2;5,2;1013,4;-0,9;83;1,4;-2,5;-
